timestamp,elapsed_time,phase,error_x,error_y,error_z,error_magnitude,rmse_x,rmse_y,rmse_z,rmse_total,iae_x,iae_y,itae_x,itae_y,settling_time,is_settled,max_overshoot_x,max_overshoot_y
1762439340.3638067,0.491227326,1,0.01124964538747264,0.005551385275721632,-0.7225000000006147,0.7226089000287165,0.005693182755282972,0.004151915725301838,0.7225000000006587,0.7225343595532512,0.0012957568255362536,0.0007467389321444445,0.00010760303164606173,5.525307954263599e-05,0.1,0,0.0,0.0
1762439340.4645514,0.591832699,1,0.012571241932480604,0.005721748100755875,-0.7241666666671558,0.7242983747302439,0.010802634423222945,0.005377721870846121,0.7241666666671698,0.7242672006344356,0.0013221123183893833,0.0006511179962243473,0.00011726881711157875,5.694656209930314e-05,0.1,0,0.0,0.0
1762439340.5656965,0.692997619,1,0.01222666968285857,0.005508179298736593,-0.725833333333692,0.7259572020918446,0.010597962410766975,0.0052113971433702016,0.725833333333706,0.7259294065167528,0.0012658388315606465,0.000625311937489799,0.00011285233704359216,5.5105195095853794e-05,0.1,0,0.0,0.0
1762439340.663956,0.791346092,1,0.010477443216112547,0.0048565516121894525,-0.727500000000237,0.7275916525842319,0.008929808100753422,0.00457763328681493,0.7275000000002498,0.7275692037185111,0.0010647984462398908,0.0005489384630093084,9.514755987100224e-05,4.838475106261568e-05,0.1,0,0.0,0.0
1762439340.7651877,0.8925123,1,0.008546514593854582,0.00417712719264518,-0.7291666666667974,0.7292287152061793,0.007057968938575956,0.003912934240576548,0.7291666666668079,0.7292113231141524,0.0008108429789859085,0.00046436783293185926,7.320175136475769e-05,4.129699441328795e-05,0.1,0,0.0,0.0
1762439340.8648527,0.992170942,1,0.0058050432186860235,0.0033194780480951813,-0.7308333333333829,0.7308639261671533,0.00436179730443892,0.003052432452118522,0.7308333333333908,0.730852723693902,0.0005101484431223948,0.0003657314799358931,4.6548573282289853e-05,3.2340084804693614e-05,0.1,0,0.0,0.0
1762439340.9647398,1.092016837,1,0.0028272269613704992,0.002455018873226855,-0.7324999999999912,0.7325095701285725,0.0016698681543396538,0.002214566134843534,0.7324999999999963,0.7325052510138156,0.0002112749547687116,0.0002704425054741076,2.0518044089163827e-05,2.3809073036615305e-05,0.1,0,0.0,0.0
1762439341.0643616,1.191744914,1,0.0002846670450527,0.0016390389429328245,-0.734166666666618,0.7341685514433017,0.001635577037365928,0.001371782527229004,0.7341666666666216,0.7341697701103782,7.101192123785083e-05,0.0001782416253455601,2.946078379413564e-06,1.5698669688136137e-05,0.1,0,0.0,0.0
1762439341.16553,1.292827647,1,-0.00184231395555301,0.0009627954750559553,-0.7358333333332623,0.7358362695193663,0.003416760781360612,0.0007207529307118665,0.7358333333332638,0.7358416189529962,0.0003187182556521613,9.659689220330093e-05,2.4621101025284455e-05,8.770007718353902e-06,0.1,0,0.0,0.0
1762439341.2645404,1.391853982,1,-0.003854070518109154,0.0003451305506945168,-0.737499999999921,0.7375101510993182,0.005547951470872872,0.0001905799768241792,0.7374999999999213,0.7375208919658715,0.0005682937872244479,2.8007420245699688e-05,4.5166964946955626e-05,2.4807114964366053e-06,0.1,0,0.0,0.0
1762439341.3646684,1.491942401,1,-0.006332557732845245,-0.00039932765228289924,-0.7391666666665901,0.7391939000431563,0.008022266535535059,0.0007085507650193666,0.7391666666665896,0.7392105382876728,0.0001817817020249724,1.704366098734322e-05,0.0,0.0,0.0,0,0.0,0.0
1762439341.4651384,1.592454614,1,-0.008002477440877342,-0.001016554470389508,-0.740833333333266,0.7408772508356974,0.009700086462065027,0.0013172056223664094,0.7408333333332647,0.7408980054539891,0.0010096426320177763,0.00013071175815750104,8.002477440877343e-05,1.0165544703895082e-05,0.1,0,0.0,0.0
1762439341.5666313,1.693919988,1,-0.009576268565718138,-0.0016174066514831331,-0.7424999999999438,0.7425635130571899,0.011272638451841156,0.0019157448005920595,0.7424999999999425,0.7425880368385431,0.0011986856694877251,0.0002028614675678564,9.576268565718139e-05,1.6174066514831333e-05,0.1,0,0.0,0.0
1762439341.6648512,1.79212611,1,-0.011078386407275431,-0.002195219134079718,-0.7441666666666258,0.7442523613735818,0.012622093820271312,0.00246644396362392,0.7441666666666241,0.7442777897908467,0.0013620929225643527,0.0002689873442862134,0.00011078386407275432,2.195219134079718e-05,0.1,0,0.0,0.0
1762439341.7648265,1.892132418,1,-0.012692588346530087,-0.002764556365053128,-0.7458333333333036,0.7459464496074077,0.01426620586710438,0.0030510241263600668,0.7458333333333025,0.7459760012822982,0.0002985465935406851,6.348929547542471e-05,0.0,0.0,0.0,0,0.0,0.0
1762439341.8650086,1.992320407,1,-0.013699817540649306,-0.003129656847403961,-0.7474999999999814,0.7476320818107004,0.015465152736725727,0.003460588388134304,0.7474999999999802,0.7476679721782475,0.00033953535956956674,7.55109781811747e-05,0.0,0.0,0.0,0,0.0,0.0
1762439341.9652486,2.092573787,1,-0.014753424755800992,-0.0034327102242608376,-0.749166666666659,0.7493197858631132,0.016542649669096354,0.0037750741344758742,0.7491666666666579,0.7493587958296255,0.000362417087053105,8.222175014996492e-05,0.0,0.0,0.0,0,0.0,0.0
1762439342.0647218,2.191994715,1,-0.01556854871746971,-0.0036527411129507747,-0.7508333333333318,0.7510036062970994,0.017375623941856048,0.003995280067551697,0.7508333333333312,0.7510449846810964,0.0003801523982165148,8.690218238502512e-05,0.0,0.0,0.0,0,0.0,0.0
1762439342.1646817,2.291971693,1,-0.015952479765603655,-0.0038148286221937333,-0.752500000000004,0.7526787392560619,0.017775378168864448,0.00416471948261408,0.7525000000000035,0.7527214351653739,0.0003886531822469355,9.048332928348033e-05,0.0,0.0,0.0,0,0.0,0.0
1762439342.2652836,2.392597553,1,-0.016517538220211847,-0.003976131071145694,-0.754166666666674,0.7543580050601129,0.01834900944175124,0.004324609995478185,0.7541666666666741,0.7544022464907092,0.0004008434238607209,9.387912046313796e-05,0.0,0.0,0.0,0,0.0,0.0
1762439342.364738,2.492043442,1,-0.01671078499773948,-0.004104982165428428,-0.7558333333333407,0.7560291852776637,0.018546797358252928,0.004449546986723354,0.7558333333333407,0.7560739447556861,0.0004050145926963307,9.644715188682616e-05,0.0,0.0,0.0,0,0.0,0.0
1762439342.4656522,2.592950312,1,-0.017143420348865845,-0.004298369068176822,-0.7575000000000074,0.7577061586379745,0.01898853366179085,0.0046438510245378544,0.7575000000000074,0.7577521888869567,0.00041441598763200283,0.00010056809914959563,0.0,0.0,0.0,0,0.0,0.0
1762439342.5649204,2.692219255,1,-0.017174865527600502,-0.004411274552536426,-0.7591666666666741,0.7593737308643604,0.019210271930072444,0.004801275206644675,0.7591666666666741,0.7594248577502756,0.0004397352943571491,0.00010900922808257496,0.0,0.0,0.0,0,0.0,0.0
1762439342.6637926,2.791209929,1,-0.0173751827900972,-0.004500744423050929,-0.7608333333333408,0.7610450149554054,0.019248000524989813,0.004857231745727644,0.7608333333333407,0.7610922672945535,0.00042006894342863535,0.00010511850481237107,0.0,0.0,0.0,0,0.0,0.0
