timestamp,elapsed_time,error_x,error_y,error_z,error_magnitude,rmse_x,rmse_y,rmse_z,rmse_total,iae_x,iae_y,settling_time,is_settled
1761289628.96024,0.670298014,-15.37436332236334,-1.6548479010430075,0.5291429380993199,15.47221901966741,12.926945453244603,1.7814651178517713,0.45408814256924335,13.057018524858801,60.007858862333016,8.090251416447888,0.9,0
1761289629.03,0.740061106,-15.106581354096095,-1.6016999128656697,0.5307701479830648,15.200524983328295,18.42147074364018,2.5289756337259583,0.4034275549156884,18.598630484711396,27.34562450763524,3.647351329062407,1.0,0
1761289629.058378,0.768437118,-15.02870613062306,-1.5862856468084932,0.5311526045938212,15.121522185390747,13.086671215112407,1.7946557764981508,0.4546892435321809,13.216977534850912,61.778801625684416,8.27833268822127,1.0,0
1761289629.135001,0.845065038,-14.711141062638063,-1.5239616519664283,0.5323399042274601,14.799443106250077,18.29905855514084,2.4988097331663437,0.40908212361729773,18.47341176585698,27.643629210503995,3.6785711155657794,1.0,0
1761289629.15923,0.86928018,-14.630235045326172,-1.5083553037739552,0.5325553198052546,14.717422613099279,13.253464882136884,1.807917447259767,0.45539566106030416,13.383956144812133,62.07521698999862,8.309240948742929,1.0,0
1761289629.234422,0.944485907,-14.56915823547276,-1.4964936324122236,0.5326965698631094,14.655498303286652,18.255325061694663,2.4882786514065147,0.410958190227716,18.428708863870465,27.74604032611096,3.6891293334861204,1.0,0
1761289629.270064,0.979208666,-14.52825123378677,-1.4884546065966773,0.5327812605939096,14.6140150848275,13.293443191957792,1.8110115206767228,0.45557639984808923,13.42396902864169,62.14806259205426,8.316723285429164,1.0,0
1761289629.348533,1.058598971,-14.404622767164167,-1.463658379404793,0.5329909947824976,14.48860008131998,18.204790815581017,2.4762560618986025,0.4130385399642615,18.37707412943226,27.861854770332165,3.7009546784547127,1.0,0
1761289629.358544,1.068609836,-14.300559725789466,-1.4424869746764752,0.5331165145818856,14.383010476291217,13.379015059444978,1.8175056816910755,0.45597746713231757,13.50959978364893,62.30651136392863,8.33282249728275,1.0,0
1761289629.428005,1.138064357,-13.501199976431893,-1.2723737258859087,0.5328115746984282,13.571485691554258,17.930155742622926,2.413129905894312,0.42289788622769825,18.09675450238554,29.84673495405202,3.8978847039192264,1.1,0
1761289629.458202,1.168262734,-13.057483680141011,-1.1787939358472581,0.531886069620743,13.121369516608993,13.771854295802221,1.844327247421354,0.45804208416682923,13.902349308345508,64.48503481489169,8.54695094035898,1.1,0
1761289629.52873,1.238778838,-12.164674657818768,-1.0077818602025652,0.528694139920955,12.217792407056123,17.501043919473247,2.3204233791780533,0.43453221178764084,17.659550423865515,31.93160846248948,4.084296591316126,1.2,0
1761289629.557984,1.268026075,-11.801037840734605,-0.9452243143718584,0.5269556593985298,11.850553800979172,14.103534868061763,1.862382388888819,0.4599793878555454,14.233402438430845,67.70620427169875,8.823040671302705,1.3,0
1761289629.627972,1.33803527,-11.029428723112613,-0.8249179989954487,0.5226403293735983,11.072576058766808,17.088165531912427,2.237542247899212,0.44281348793705405,17.239723905627745,33.7893335584378,4.233694617892599,1.3,0
