timestamp,elapsed_time,phase,current_x,current_y,current_z,target_x,target_y,target_z,error_x,error_y,error_z,error_magnitude,rmse_x,rmse_y,rmse_z,rmse_total,iae_x,iae_y,itae_x,itae_y,settling_time,is_settled,max_overshoot_x,max_overshoot_y
1762445540.2989438,0.959323126,1,-11.388980651825698,4.571099366368212,0.5008333332916397,-11.399999999999999,4.572050807568877,1.36,0.011019348174301058,-0.0009514412006650375,-0.8591666667083604,0.8592378555774295,0.0065499555294762524,0.0030748160502733954,0.8591666667039015,0.8591971354620976,0.0001137335461242106,9.821552009302971e-05,0.0,0.0,0.0,0,0.0,0.0
1762445540.398672,1.058993036,1,-11.356384867027984,4.550818676795338,0.5008333332748739,-11.366666666666667,4.552050807568877,1.3633333333333333,0.010281799638683253,-0.0012321307735394527,-0.8625000000584594,0.8625621621952215,0.008687386420415008,0.008791082575147446,0.8625000000527754,0.8625885484439834,0.00047515803736950164,0.0004643073747663458,0.0,0.0,0.0,0,0.0,0.0
1762445540.500778,1.160997608,1,-11.325395035981517,4.531583390429011,0.5008333332700141,-11.333333333333334,4.5320508075688775,1.3666666666666667,0.00793829735181717,-0.0004674171398661997,-0.8658333333966526,0.8658698494949385,0.008831154957639106,0.008708548291996547,0.8658333333954944,0.8659221612419867,0.0004565695970363884,0.000440160746980162,0.0,0.0,0.0,0,0.0,0.0
1762445540.5999608,1.260248667,1,-11.29335719091695,4.511745257644135,0.500833333272966,-11.3,4.512050807568878,1.37,0.006642809083050594,-0.00030554992474307596,-0.8691666667270341,0.8691921046711444,0.00984492694359001,0.008999122567201331,0.8691666667288245,0.8692690040177433,0.0005110643682920878,0.000463266863982577,0.0,0.0,0.0,0,0.0,0.0
1762445540.6999378,1.360199061,1,-11.263882752124593,4.4935356886864035,0.5008333332803109,-11.266666666666667,4.492050807568877,1.3733333333333333,0.002783914542074939,0.0014848811175260934,-0.8725000000530224,0.8725057049352943,0.011568475523439856,0.009877093618314707,0.8725000000562909,0.8726325897549947,0.0005620921498326065,0.0004915127193141008,0.0,0.0,0.0,0,0.0,0.0
1762445540.8018427,1.46213265,1,-11.23575339878046,4.476192216109468,0.5008333332893504,-11.233333333333333,4.472050807568877,1.3766666666666667,-0.002420065447127584,0.004141408540591307,-0.8758333333773163,0.87584646818737,0.015236659016641523,0.011830352496792,0.8758333333810326,0.876045741316924,0.0007170806741967794,0.000561203379495561,0.0,0.0,0.0,0,0.0,0.0
1762445540.8981009,1.558486787,1,-11.203118172662288,4.456105065413572,0.5008333333004613,-11.233333333333333,4.472050807568877,1.3766666666666667,0.030215160671044572,-0.015945742155304643,-0.8758333333662054,0.87649942981306,0.01633901042357599,0.009998493284036541,0.875833333375585,0.8760427849034323,0.0021016570083757726,0.0010532314860692085,0.00013499727880155046,4.706513002821789e-05,0.1,0,0.0,0.0
1762445540.9987273,1.659094103,1,-11.170988297899319,4.436355896121077,0.5008333333113284,-11.2,4.452050807568877,1.38,0.02901170210068038,-0.015694911447800663,-0.8791666666886715,0.8797852220403583,0.017703779458112103,0.00901380314828523,0.8791666666930508,0.8793910963152102,0.001284263924900214,0.00047744456849881166,0.00012408196853501912,4.7025818406504165e-05,0.1,0,0.0,0.0
1762445541.0981333,1.758499863,1,-11.140109569503077,4.417406366534612,0.5008333333207824,-11.166666666666666,4.432050807568877,1.3833333333333333,0.02655709716358956,-0.014644441034264766,-0.8825000000125509,0.8830209448734014,0.015633568318549118,0.008195950182502935,0.8825000000163786,0.8826765161069332,0.0009649485778539585,0.0003703973062449873,9.505841731170861e-05,3.5568466697380254e-05,0.1,0,0.0,0.0
1762445541.198596,1.858950946,1,-11.110505580681027,4.399271344642124,0.500833333328208,-11.133333333333333,4.412050807568877,1.3866666666666667,0.022827752652306188,-0.012779462926753027,-0.8858333333384587,0.8862195638877399,0.01289181280935948,0.006930931800090592,0.8858333333413253,0.8859542488818103,0.0005023140480006526,0.0003556263932415745,4.8696042418255915e-05,3.317975403665318e-05,0.1,0,0.0,0.0
