timestamp,elapsed_time,phase,error_x,error_y,error_z,error_magnitude,rmse_x,rmse_y,rmse_z,rmse_total,iae_x,iae_y,itae_x,itae_y,settling_time,is_settled,max_overshoot_x,max_overshoot_y
1762438231.9483557,0.958112557,1,-0.15889113016618062,-0.03196450203100687,-0.7008333333265088,0.7193298838065341,0.1674327643973239,0.033691010063642675,0.7008333333266372,0.7213433134469077,0.025652842512259705,0.005161307282286166,0.001666881667613759,0.0003353427742924458,0.1,0,0.0,0.0
1762438232.0489461,1.058637926,1,-0.1581569061587036,-0.03178512388124766,-0.7024999999935511,0.7207843998428229,0.15934512934939385,0.03202484593406328,0.7024999999935054,0.7210566628187765,0.018511219613692634,0.0037203661058077472,0.0016585855305296922,0.0003333400176096502,0.1,0,0.0,0.0
1762438232.1497667,1.15939408,1,-0.159579918381068,-0.03204525837946637,-0.7041666666610197,0.7227332449608269,0.16056107588351962,0.03224296008930494,0.7041666666609586,0.7229593086755295,0.018376187148987436,0.003690140781291111,0.0015957991838106802,0.00032045258379466375,0.1,0,0.0,0.0
1762438232.2494974,1.259179958,1,-0.16067570263092357,-0.032243140769371514,-0.7058333333287652,0.7246081672052905,0.1616379063731184,0.03243680043058412,0.7058333333286941,0.7248307755861046,0.0025948438004149863,0.0005207272538425882,0.0,0.0,0.0,0,0.0,0.0
1762438232.3495557,1.359212859,1,-0.16180095550319962,-0.03245037382905691,-0.7074999999966065,0.726490761096514,0.1627444958115116,0.03264007821452199,0.7074999999965352,0.7267099804033866,0.0026123772781988016,0.0005239433022277834,0.0,0.0,0.0,0,0.0,0.0
1762438232.4493155,1.459000007,1,-0.1631476409324879,-0.03270511913561469,-0.709166666664387,0.728425794894297,0.16407826720502494,0.032892059000066816,0.7091666666643223,0.7286432092746445,0.0026336010175223375,0.0005279500368364833,0.0,0.0,0.0,0,0.0,0.0
1762438232.550878,1.560531963,1,-0.16495234086377053,-0.033054326234261744,-0.7108333333320028,0.7304696372985839,0.1657230136055588,0.033209019659326905,0.7108333333319575,0.7306510685690287,0.002492761602750234,0.0004995236096695362,0.0,0.0,0.0,0,0.0,0.0
1762438232.649267,1.658864376,1,-0.1670119264201606,-0.03345665311557333,-0.7124999999994226,0.7325766725766295,0.1679505713822591,0.033644951082107445,0.71249999999938,0.7327998547762282,0.0026956220217333976,0.0005400069178548752,0.0,0.0,0.0,0,0.0,0.0
1762438232.749776,1.759149931,1,-0.16879648940319747,-0.03380539491468637,-0.7141666666666564,0.7346217307825469,0.16975367489637244,0.033997317968799914,0.7141666666666255,0.7348511111426681,0.002724636719299365,0.0005456770475805599,0.0,0.0,0.0,0,0.0,0.0
1762438232.8486698,1.858384238,1,-0.17092095517762296,-0.0342235657672596,-0.7158333333336995,0.7367513735883309,0.17206298845708268,0.03445246350632858,0.7158333333336754,0.7370278185727035,0.002935293913029417,0.0005877409228387353,0.0,0.0,0.0,0,0.0,0.0
