timestamp,elapsed_time,error_x,error_y,error_z,error_magnitude,rmse_x,rmse_y,rmse_z,rmse_total,iae_x,iae_y,settling_time,is_settled
1761293351.18785,6.232613461,-15.0,-3.232050807568877,0.5011998947384749,15.352438039516477,15.0,3.232050807568877,0.501195892018065,15.352437908843092,0.3150000000000001,0.06787306695894645,0.0,0
1761293351.287524,6.332309755,-14.999400085326508,-3.231450892895384,0.5012064605849864,15.35172582184229,14.999977422065356,3.2320282307340804,0.5012050213688793,15.35241139431125,2.5499986001493276,0.5494472374360325,3.3,0
1761293351.390547,6.4352682,-14.938518105027509,-3.170819598335483,0.5011741994622297,15.279548281203526,14.989574471636931,3.2216708711541204,0.5011994460576509,15.340068674146183,4.782830151143758,1.0288556200984844,3.4,0
1761293351.487728,6.53249208,-14.778220869393218,-3.024102883606134,0.5011191229433299,15.092784060291317,14.951266709508653,3.18527190705442,0.5011833896234178,15.295016120644208,7.000700780601852,1.4937289060585794,3.5,0
1761293351.587814,6.632563155,-14.519037209852861,-2.8231364631567635,0.501054187994271,14.79944581023235,14.881795160383502,3.125934778826563,0.5011605106538743,15.214810458711936,9.18785718720337,1.9322634514086705,3.6,0
1761293351.688091,6.732831051,-14.16149314475954,-2.5955598315967814,0.5009890344415117,14.406103183758638,14.780902128792201,3.050803406135956,0.5011338251495043,15.100781578267185,11.33153996994949,2.339700569095327,3.7,0
1761293351.787866,6.832617519,-13.706111894354194,-2.359550769400302,0.5009301351432051,13.916749408329146,14.649085414964796,2.9662264754726366,0.5011056973907245,14.95477548874227,13.41615266772248,2.7125066714525543,3.8,0
1761293351.888078,6.932815625,-13.153413895649882,-2.126633214592246,0.5008812076067493,13.333632210459983,14.48722995103962,2.876977471470946,0.5010778793049013,14.778630182353826,15.4271483713677,3.050193182983153,3.9,0
1761293351.987934,7.032693273,-12.503916817236977,-1.9037785627796207,0.500843760140899,12.657928466402115,14.296528475830799,2.786440307864067,0.5010515807104957,14.574156192934911,17.35005755284002,3.3536861242648985,4.0,0
1761293352.087546,7.132332316,-11.742241372881669,-1.6914541516988577,0.5008172616559111,11.874008065345324,14.073850973120459,2.695180968354839,0.5010271017621797,14.338351014760589,19.182229894954137,3.6264763540592355,4.1,0
1761293352.188009,7.232756787,-10.927676923208484,-1.5638415746204797,0.500801528551666,11.050363142428143,13.83022774010978,2.6090588055034725,0.501005796128265,14.083088936793356,20.885299506295333,3.8679256062513088,4.2,0
1761293352.288722,7.333362193,-10.129678886614595,-1.5510461164103155,0.5007943699298493,10.259967514671304,13.58398945900438,2.537602238838019,0.5009883031416366,13.82805785440539,22.435708429947045,4.095507925318967,4.3,0
1761293352.389536,7.434195669,-9.26094075326236,-1.5342785066369982,0.5007929044549511,9.400522735705515,13.318169895761514,2.4736622303563247,0.5009729033419285,13.555206676850874,23.870027347581274,4.322534513026061,4.4,0
1761293352.487569,7.532356519,-8.326828305649162,-1.5089293899182679,0.5007958677431189,8.47724802259954,13.023929982776812,2.4134540171368433,0.5009590685584191,13.255130043778436,25.196551513809478,4.55113189598979,4.5,0
1761293352.587616,7.632397729,-7.4465934782867,-1.4702405157299563,0.5008015183502931,7.606849792505296,12.729383367932744,2.3602458735483878,0.5009477529838797,12.956037594983453,26.379146172468868,4.773769590712235,4.6,0
1761293352.687846,7.73261116,-6.624959657054849,-1.4023409646737053,0.5008084254172381,6.790247397390995,12.434427678320445,2.310857982087268,0.5009383493849954,12.657250709796443,27.43417537391354,4.988917735550594,4.7,0
1761293352.788155,7.832901797,-5.8698774979138015,-1.3099681010181892,0.5008154948243452,6.035088601342665,12.14347180289136,2.2635883932189023,0.500930544629294,12.362793828745808,28.371013582632013,5.192145948533798,4.8,0
1761293352.888002,7.932761899,-5.184510523732979,-1.20478728112655,0.5008219783921419,5.346165393766165,11.859716423430042,2.217569166798152,0.5009240452143817,12.075653669792956,29.199911342516657,5.38061779395305,4.9,0
1761293352.988093,8.032832575,-4.567549752329945,-1.0952692933318382,0.5008274329586891,4.723658929530047,11.585310164479855,2.172508508645166,0.5009185898487722,11.797886431941613,29.931154799807228,5.5530200903760445,5.0,0
1761293353.089016,8.133692137,-4.025992619854399,-0.9890657572682584,0.5008315907389331,4.175847210998604,11.326750492527804,2.129282429350204,0.5009140413681697,11.53603204142387,30.56966927325068,5.707912671382739,5.1,0
1761293353.189404,8.234068953,-3.5414131618630713,-0.8870174772177171,0.5008345608359005,3.6850023670595338,11.046755541838026,2.07685365117779,0.5009081203054808,11.251446041932905,31.13194859528175,5.8473267188837585,5.2,0
1761293353.288684,8.333356087,-3.108463904205572,-0.7908779189143277,0.5008364482880433,3.246363022569871,10.561512564868448,1.9585357214486845,0.5008899503442839,10.753246048167062,31.625232816536442,5.971827916936206,5.3,0
1761293353.388901,8.433570958,-2.722720741024694,-0.701704852562669,0.5008374265280567,2.855947489280449,10.047832276404534,1.8320068776059883,0.500872327957434,10.225754531733386,32.05695710932614,6.0823810739989685,5.4,0
1761293353.48895,8.533597421,-2.3811313339108677,-0.6202100666290811,0.5008376986991283,2.5110327270902775,9.508696499919186,1.7027949832530949,0.5008567449690622,9.672935302251757,32.43411838659006,6.180115246479015,5.5,0
1761293353.58919,8.633871395,-2.075064650662856,-0.5453160488134863,0.5008374601662817,2.2032024552977254,8.936757529673987,1.5745513882927515,0.5008437870708994,9.088217191375152,32.76526879849236,6.266770694408117,5.6,0
1761293353.689032,8.733721415,-1.8128043157357059,-0.4798107394433755,0.5008369085000399,1.9409573518630123,8.359574824419795,1.4567468437544606,0.5008342509654437,8.500319850382215,33.05200139314701,6.342407413054361,5.7,0
1761293353.789021,8.833697592,-1.5787216216707596,-0.42036731792703663,0.5008361823446886,1.7087736895965848,7.7588478081197,1.3472239259402876,0.5008276271348788,7.890852927807702,33.30356360591695,6.409204409970424,5.8,0
1761293353.888835,8.933472768,-1.3745458942795339,-0.36780844951426395,0.5008354164894414,1.508474588922519,7.152165456317695,1.2498401997405921,0.5008237550827975,7.277801568680403,33.52260863081221,6.467683506759805,5.9,0
1761293353.988746,9.033386849,-1.1967436983931043,-0.32152852588352343,0.5008346993014027,1.3365670460641934,6.546333946815167,1.1650010608591364,0.5008221048839087,6.6680235749259245,33.71332407368793,6.518826594144421,6.0,0
1761293354.089206,9.133841766,-1.0447602189406853,-0.2816130891771653,0.5008340962025961,1.1923357912081503,5.961069161869092,1.0937604496655176,0.5008220911405066,6.081240024930239,33.87831930036671,6.563234200693518,6.1,0
1761293354.188971,9.233671682,-0.9092596788049088,-0.24576505429903683,0.5008336086293843,1.0667651704793073,5.381586671713027,1.0322970411847774,0.5008231763811941,5.502539063050683,34.02272228080439,6.602217819419678,6.2,0
1761293354.288875,9.33354963,-0.7911911987745315,-0.21433876751085812,0.5008332552800703,0.9606032322820832,4.825521292550421,0.9729383217744486,0.5008249004681934,4.948039036200478,34.14860844243374,6.636286124567701,6.3,0
1761293354.389507,9.434147002,-0.6904149741423575,-0.18738219431681769,0.5008330299383921,0.873280394343219,4.31042337194268,0.9118848059808283,0.5008268425204131,4.4341979061559,34.25746386196218,6.665805846120999,6.4,0
1761293354.489048,9.533570812,-0.6006422726067768,-0.16327125200914527,0.5008329050562913,0.7989131618405041,3.823339721940035,0.8465591193961146,0.5008288053713735,3.9478371881685983,34.35286970970666,6.691722045514827,6.5,0
1761293354.589179,9.633852251,-0.5238416892108821,-0.14257520352312758,0.5008328637196983,0.7386280264088586,3.387550762925408,0.779709004877392,0.5008305314470101,3.512019009759614,34.43533334639069,6.714154063510017,6.6,0
1761293354.688992,9.733661535,-0.4554796447723257,-0.12410219752624863,0.5008328811177725,0.6882562292064612,2.9855244599380364,0.7097149838773846,0.5008319871181924,3.1093221670565336,34.50756609606298,6.7338259118533,6.7,0
1761293354.789765,9.834180109,-0.3981533888688711,-0.10857611701580483,0.5008329344431575,0.6489595692159414,2.6386282922786606,0.6430959015265452,0.5008330560553916,2.7616598909734384,34.569568348747204,6.7507278975879785,6.8,0
1761293354.890246,9.934645255,-0.34681116213996965,-0.09464495839826625,0.500833008745214,0.6164976504285069,2.3215901829292926,0.5776046648043041,0.5008338208410736,2.4442263893460496,34.62388903789806,6.765547733837501,6.9,0
1761293354.988881,10.033526821,-0.301910203499304,-0.08244262611539543,0.5008330896237569,0.5905762789342899,2.0392069781563382,0.5159027149070793,0.5008342906135775,2.162257084082373,34.67109976706432,6.778436519030594,7.0,0
1761293355.089332,10.133987997,-0.2625822992539879,-0.07174100881848777,0.5008331672766395,0.5700264008553951,1.7884445138629117,0.458685840240577,0.5008345168507568,1.9130503632870417,34.71209929997663,6.789635973448754,7.1,0
1761293355.188975,10.233663246,-0.2276633059653861,-0.062228741828192824,0.5008332366595579,0.5536577716744321,1.5620912543162302,0.4052476481027229,0.5008345566519745,1.6897307466696645,34.747907655884966,6.799422103781934,7.2,0
1761293355.288882,10.333538126,-0.19745081247322815,-0.05399089014428049,0.5008332925906022,0.5410506690986098,1.3626758331316584,0.35687098029169867,0.5008344631127597,1.4950175524778508,34.77896055261536,6.807912034271749,7.3,0
1761293355.389249,10.433916106,-0.1718286421402695,-0.046999223052436534,0.5008333333354743,0.53157129061606,1.190899199948517,0.3142861412451678,0.5008342934821276,1.3296058335253111,34.80572943387838,6.815233163190855,7.4,0
1761293355.488994,10.53372182,-0.14916066058033106,-0.040809652792778595,0.5008333612570827,0.5241644648141415,1.0373119931838464,0.2755318596393523,0.5008340837489843,1.1843853918062517,34.82913548404807,6.821636360925605,7.5,0
1761293355.589265,10.633676522,-0.1295701938525724,-0.03545746177551634,0.500833377200241,0.5185361496061334,0.9032387525710867,0.2412021174275766,0.5008338696672328,1.0605910006235078,34.84946192455066,6.82719836047291,7.6,0
1761293355.689555,10.734234765,-0.11293831326637616,-0.030911491737783958,0.5008333835108401,0.5143390525361898,0.7884940747184147,0.21147027329046397,0.5008336773485452,0.9577457672671068,34.86701368390758,6.832002032855069,7.7,0
1761293355.789431,10.834100869,-0.0991435477741005,-0.027139618941252053,0.5008333831971711,0.511272999195377,0.6939467419017981,0.18674089673895414,0.5008335239546504,0.8759386176141698,34.88197842735148,6.836098321260207,7.8,0
1761293355.887866,10.932619128,-0.08560940811465745,-0.02343790027789283,0.5008333781075227,0.508637767525939,0.6022166150652398,0.16255876722686216,0.5008333904999153,0.7999526794145969,34.895422528462475,6.839778860954412,7.9,0
1761293355.987823,11.032552084,-0.07399466817198785,-0.02026030183122951,0.5008333701712863,0.5066751971680712,0.522520174205238,0.1414051506742964,0.5008332960822762,0.7374664328315761,34.907058764248234,6.842964840279671,8.0,0
1761293356.08772,11.132477914,-0.06424403887030206,-0.017592083505344025,0.5008333613313432,0.5052433411286877,0.4545398773727343,0.12326137995398749,0.5008332380396192,0.6874836727046189,34.91708228905685,6.845709526646776,8.1,0
1761293356.187814,11.232573046,-0.05584550699871382,-0.015293423603891076,0.5008333526648087,0.5041692737552974,0.39530947436313413,0.10738193390132354,0.5008332085564938,0.6470196001997451,34.92579251699012,6.848094788026308,8.2,0
1761293356.287795,11.332568661,-0.04857883581838429,-0.013304236492304833,0.5008333449657091,0.5033596581249372,0.34372779180166135,0.09350189006324851,0.5008332010829711,0.614593600364714,34.93336787473473,6.850169404143809,8.3,0
1761293356.388346,11.433063209,-0.04226534412348393,-0.011575747522160507,0.500833338670402,0.5027468452097089,0.29880442127833234,0.08137669263233334,0.5008332090733862,0.5888464584167953,34.93995863449498,6.85197447100375,8.4,0
1761293356.497313,11.54207835,-0.03677990913169893,-0.010073798868946104,0.5008333339330112,0.502283059158721,0.2596697650445186,0.07078745429326551,0.5008332266279598,0.5685711665729893,34.94569345635624,6.853545184320898,8.5,0
1761293356.587798,11.632570502,-0.03202075439817609,-0.008770593522791748,0.500833330703636,0.501932542446361,0.22558781679573334,0.061546316984301436,0.5008332488587486,0.5527311782262754,34.95068537552299,6.854912473387261,8.6,0
1761293356.688139,11.732651564,-0.02788591097418447,-0.00763825999123946,0.5008333288007368,0.501667210692687,0.1959137725826371,0.05348658726532508,0.500833272035152,0.540441474798418,34.95503242040194,6.856103166699804,8.7,0
1761293356.788145,11.832842968,-0.024288110749568048,-0.006652936250385322,0.5008333279725088,0.501466046998751,0.17008233033351455,0.046460608704405104,0.5008332935675989,0.530961933850847,34.95881159978691,6.857138342522483,8.8,0
1761293356.888105,11.932835296,-0.021154905938969293,-0.005794807169159366,0.5008333279448598,0.5013134071773244,0.14760703082473683,0.04034030257679337,0.5008333118845363,0.5236880577730556,34.962109270321506,6.85804164368193,8.9,0
1761293356.988829,12.03349074,-0.018425194972607528,-0.0050471567551613195,0.5008333284557087,0.5011975503662339,0.1280755752739905,0.035016422560821624,0.5008333262500994,0.5181346577034391,34.964981390362404,6.858828390795395,9.0,0
1761293357.088627,12.133341741,-0.016093838576426656,-0.004408591354722713,0.5008333292585624,0.5011112361682509,0.11144047943976512,0.030478327798603606,0.500833336391944,0.5139863225462814,34.967467117515916,6.859509304376693,9.1,0
1761293357.188929,12.233629124,-0.014013384668300155,-0.0038387329369926615,0.5008333302054981,0.5010440454342839,0.09671209375202938,0.026457611071730544,0.5008333430441794,0.5107712518988642,34.96964788808076,6.860106688163008,9.2,0
1761293357.287643,12.332422854,-0.012197956465720416,-0.0033414563000069286,0.5008333311465001,0.5009929950203339,0.08395311580995848,0.0229724777627523,0.5008333465421655,0.5083403401240013,34.97154620370325,6.860626703282025,9.3,0
1761293357.387612,12.43239162,-0.010622882854925741,-0.0029100085474369486,0.5008333319910888,0.5009544292879261,0.07289468613730685,0.019950369239340078,0.5008333475855583,0.5065034003376474,34.97319908777782,6.8610794896230525,9.4,0
