timestamp,elapsed_time,phase,error_x,error_y,error_z,error_magnitude,rmse_x,rmse_y,rmse_z,rmse_total,iae_x,iae_y,itae_x,itae_y,settling_time,is_settled,max_overshoot_x,max_overshoot_y
1762442083.4798238,0.653343096,1,-0.189920891952446,-9.061597916470987e-09,-0.49916666666640896,0.5340761240786435,1.0483756844215848,5.8723188291882746e-08,0.4991666665804731,1.1611455277920553,2.391515369800192,1.2903626876847878e-07,1.4434940581591904,7.360253813299968e-08,1.8,0,1.140454664244365,5.978395245520574e-08
1762442083.579523,0.753044278,1,-0.15782857078807577,-7.508942356793114e-09,-0.4991666666625796,0.5235238474645043,1.0200775516998193,5.712563065054033e-08,0.49916666658506254,1.1356608527687937,2.4186516962381366,1.3032976635374282e-07,1.4948302871681545,7.604955744469074e-08,1.9,0,1.140454664244365,5.978395245520574e-08
1762442083.6793075,0.85281544,1,-0.13345904062882763,-6.334556212905795e-09,-0.49916666666059895,0.5166997935267834,0.9618868103753623,5.333573896072563e-08,0.4991666665976529,1.0836944204969883,2.4409967179281877,1.3139209019463737e-07,1.5393807004917794,7.816756367844411e-08,2.0,0,1.140454664244365,5.978395245520574e-08
1762442083.779268,0.952769664,1,-0.12084713085896759,-5.7286035914927425e-09,-0.49916666666003284,0.5135867892979071,0.8940503199746014,4.882437996729254e-08,0.499166666613693,1.0239596357791236,2.457592418984915,1.321794183268831e-07,1.5741134944785626,7.981534469310168e-08,2.1,0,1.140454664244365,5.978395245520574e-08
1762442083.882394,1.055882633,1,-0.10125601509821003,-4.7895221122473686e-09,-0.49916666665988896,0.5093330361344272,0.7878281861590035,4.204750560777425e-08,0.4991666666371798,0.932652460452585,2.473891846041158,1.3295112463018726e-07,1.6096394849434772,8.149733511242384e-08,2.2,0,1.140454664244365,5.978395245520574e-08
1762442083.9803095,1.153710476,1,-0.0844515277849407,-3.986291963187227e-09,-0.4991666666604754,0.506260231156014,0.6894605794737233,3.6052965366965494e-08,0.49916666665611503,0.8511893160448037,2.4876089197132254,1.3359918845701194e-07,1.6409103445693283,8.297472101324043e-08,2.3,0,1.140454664244365,5.978395245520574e-08
1762442084.0804195,1.253894186,1,-0.07108075860158003,-3.349008181885438e-09,-0.4991666666614727,0.5042021770572812,0.603627002814401,3.103637450680383e-08,0.4991666666695414,0.78328342229405,2.4990389481413744,1.3413815068674667e-07,1.6681175091572713,8.42576202132018e-08,2.4,0,1.140454664244365,5.978395245520574e-08
1762442084.1800969,1.353535471,1,-0.06015710821427156,-2.8297759691042756e-09,-0.4991666666626502,0.502778518610138,0.5277578289774898,2.6759094529004572e-08,0.4991666666782446,0.7264266564283718,2.5086897735190243,1.345924402120779e-07,1.692054962181122,8.538441471064312e-08,2.5,0,1.140454664244365,5.978395245520574e-08
1762442084.2800195,1.453496175,1,-0.05131192118063144,-2.410394106533431e-09,-0.49916666666380993,0.5017970449928003,0.46199369239832566,2.3159199155000382e-08,0.49916666668287174,0.6801511103741054,2.516827815645844,1.3497494999170634e-07,1.7130531799070758,8.637138438727387e-08,2.6,0,1.140454664244365,5.978395245520574e-08
1762442084.3801296,1.553566628,1,-0.04377176418622941,-2.0537025413602805e-09,-0.49916666666488263,0.5010821573846996,0.40259482905325056,1.998425279287938e-08,0.4991666666844648,0.6412877337898301,2.523811244903981,1.3530276782880433e-07,1.7317665586829225,8.724983017485152e-08,2.7,0,1.140454664244365,5.978395245520574e-08
1762442084.4805865,1.654016725,1,-0.03747379923337402,-1.756392586926836e-09,-0.4991666666657756,0.5005713203322827,0.3502989341277136,1.7244182351563216e-08,0.49916666668378246,0.60981694333563,2.5297809233558337,1.355826870435006e-07,1.7483604936949064,8.802792094451133e-08,2.8,0,1.140454664244365,5.978395245520574e-08
1762442084.5808682,1.754288489,1,-0.03217289630628262,-1.506612168356014e-09,-0.4991666666664609,0.5002024153956481,0.304740421674164,1.489952113493108e-08,0.49916666668164433,0.5848368026451578,2.5349001002219134,1.3582249905574876e-07,1.763102284855522,8.871851099929736e-08,2.9,0,1.140454664244365,5.978395245520574e-08
1762442084.6805954,1.85404456,1,-0.027761980858310054,-1.2991019371355605e-09,-0.4991666666669321,0.4999380848590686,0.2656881841006737,1.2919414854951962e-08,0.4991666666788038,0.5654711065067266,2.5392731247732523,1.36027192971122e-07,1.7761321597126196,8.93284166588739e-08,3.0,0,1.140454664244365,5.978395245520574e-08
1762442084.7801592,1.953602949,1,-0.023914517912126065,-1.1183509673884373e-09,-0.4991666666672292,0.4997391972605732,0.23068611362531563,1.1165971199155066e-08,0.4991666666756754,0.5498940299181807,2.54306571006756,1.3620459698260304e-07,1.7878096365767941,8.987464795142693e-08,3.1,0,1.140454664244365,5.978395245520574e-08
1762442084.8810663,2.054477995,1,-0.02088296167694459,-9.760972030647963e-10,-0.49916666666736587,0.4996033018307724,0.20217358970239915,9.751085149070842e-09,0.499166666672923,0.5385550310697238,2.5462532952065215,1.3635361597796871e-07,1.797941357622382,9.034830351595265e-08,3.2,0,1.140454664244365,5.978395245520574e-08
1762442084.9891446,2.16253677,1,-0.01845813456154488,-8.624183589489576e-10,-0.4991666666674016,0.4995078216037632,0.17932191826687188,8.624859772784113e-09,0.49916666667073645,0.5303995771925963,2.5489195090518444,1.3647820153250817e-07,1.806672431454872,9.075628451826762e-08,3.3,0,1.140454664244365,5.978395245520574e-08
1762442085.0796623,2.253137218,1,-0.016284323298990877,-7.605722718295738e-10,-0.4991666666673792,0.49943221792063885,0.1596356712360365,7.659759295001839e-09,0.4991666666689665,0.524071472839714,2.549595576735866,1.3650978358414873e-07,1.808903454812143,9.086050528868144e-08,3.3,0,1.140454664244365,5.978395245520574e-08
1762442085.1798487,2.35333519,1,-0.013692238949126967,-6.3920757575886e-10,-0.4991666666672919,0.49935442174789574,0.13622676219196914,6.5180182095408385e-09,0.49916666666712395,0.5174215803857383,2.551957132126333,1.3662006987225065e-07,1.8169262833559712,9.12351769659871e-08,3.4,0,1.140454664244365,5.978395245520574e-08
1762442085.2809982,2.454427668,1,-0.011608510360774815,-5.417157833420561e-10,-0.499166666667171,0.499301630905018,0.11593507502474362,5.5328902246785774e-09,0.4991666666658814,0.512453220041908,2.5539416596069704,1.3671270776338655e-07,1.8238694045982822,9.155928237565301e-08,3.5,0,1.140454664244365,5.978395245520574e-08
