,rise_time,overshoot_percent,peak_time,settling_time,steady_state_error,steady_state_error_percent,initial_value,final_value,peak_value
PID+Fuzzy,,0.0,32.333398191,,0.4991666666666741,0.0,1.6067376677159195,0.4991666666666741,0.4991666666666741
PD,,0.0,11.953370945,,0.4991666666666741,0.0,0.5113339719703198,0.4991666666666741,0.4991666666666741
PID,,0.0,32.197247142,,0.4991666666666741,0.0,1.262844462619361,0.4991666666666741,0.4991666666666741
