timestamp,elapsed_time,error_x,error_y,error_z,error_magnitude,rmse_x,rmse_y,rmse_z,rmse_total,iae_x,iae_y,settling_time,is_settled
1763729599.65714,0.375850499,0.33665607963785327,0.47552704321125927,0.0008332751447788223,0.5826353740804263,0.33027456645786757,0.45937669706362694,0.0008332723870732586,0.5657817011859705,0.04047289239148941,0.056111784713130046,0.1,0
1763729599.757026,0.475745807,0.33328700499988173,0.5920949267644571,0.0008332933202668258,0.6794536955376405,0.3264091368374136,0.5723211875158027,0.0008332904009439591,0.6588589838981757,0.040908053126492254,0.07183510217670042,0.1,0
1763729599.859324,0.578021754,0.32652482082768053,0.7129837285611915,0.0008333093338497299,0.7841970098221579,0.3206881514399962,0.6941068238205232,0.0008333069988423724,0.7646083100181236,0.040059520476654016,0.0870137875759305,0.1,0
1763729599.962008,0.680719578,0.3103932237929534,0.8150218782258927,0.0008333207048245583,0.8721268885814961,0.3066264761907036,0.8015649038152611,0.0008333193047264561,0.8582113873344728,0.006404599639403995,0.016710038130199598,0.0,0
1763729600.06279,0.781514001,0.29082170099708193,0.9145902145305633,0.0008333299425931084,0.9597151747912978,0.2873402628301597,0.9008353095387206,0.0008333287632352406,0.9455524184263163,0.0062893753675393235,0.019692416229743263,0.0,0
1763729600.161344,0.880071926,0.2642435537087948,0.9952465708923541,0.0008333360849941407,1.0297286472652263,0.2620994872114576,0.9858884695446822,0.0008333354286839756,1.0201337706524578,0.004960184990741469,0.01864642911196475,0.0,0
1763729600.257528,0.976214972,0.2806996155898407,1.0721634007326384,0.0008333407789073988,1.1082992946491097,0.2709348237184546,1.026069335301056,0.0008333380058019677,1.061237322186104,0.04311393353099431,0.1634966361571431,0.1,0
1763729600.356571,1.075291172,0.2040681533772677,1.1562526108578575,0.0008333443903072446,1.1741229091544432,0.2021797524840371,1.1443183787238687,0.000833343983821131,1.1620421243061394,0.005642520839943162,0.03192788929309775,0.0,0
1763729600.456706,1.175435033,0.20994535376006773,1.2061235667835841,0.0008333454158495623,1.2242596964618158,0.20618352292300246,1.1732513775205133,0.0008333447674646799,1.1912309324569372,0.03667542982073144,0.2089792567693947,0.1,0
1763729600.556711,1.275423502,0.11674249058112451,1.2268503559335777,0.000833344849148876,1.2323925102925075,0.11746277292511909,1.225735784328567,0.0008333450217574514,1.2313514569247688,0.003176893718330646,0.033079518602163675,0.0,0
1763729600.656179,1.374927844,0.06249125349036433,1.211896895447548,0.00083334326048079,1.2135072873366652,0.06425065892056506,1.216645858984362,0.00083334356397953,1.2183414906408707,0.0017494831935391207,0.03288651005105758,0.0,0
