controller,rmse_x,rmse_y,rmse_z,rmse_3d,iae_x,iae_y,iae_z,iae_3d,ise_x,ise_y,ise_z,ise_3d,max_error_x,max_error_y,max_error_z,max_error_3d,mae_x,mae_y,mae_z,mae_3d,percent_settled,time_to_settle,duration
PID+Fuzzy,0.04789098890658629,0.09134745503954045,0.9683172858494544,0.9737947783981519,1.295465899346684,2.7149984014473043,55.01022464837534,55.37171452580333,0.13348889190630708,0.48568248092515115,54.56988540683276,55.18905677966421,0.2483876628163628,0.3065757002796864,1.297166666666674,1.2974585198585669,0.022267452021644357,0.04664772335660876,0.9452033218785882,0.9514138016536013,0.0,,59.953923384
PD,0.31002135419603566,0.1599109280248706,0.9679025764942192,1.0288440807738883,16.899497334835832,8.23032637589296,55.85669515070264,59.78067042678684,5.679693209892102,1.511177667434225,55.366572522994794,62.55744340032113,0.3804303225441743,0.2687239482019068,1.299166666666674,1.3529619080617663,0.28596210420077967,0.13926740951123806,0.9451305696559583,1.0115320466751219,0.0,,59.977431229
PID,0.04969216840208396,0.09191650562453153,0.9675384826977405,0.9731642570027793,1.508463894505694,3.0674631516675817,55.83260469059484,56.20100240628318,0.14595036182594937,0.49937600423382955,55.325143422031005,55.970469788090796,0.2458371394469916,0.2959337200062468,1.299166666666674,1.3019013382871032,0.02551339754296896,0.051898706192924256,0.9447177100958885,0.9509501177261441,0.0,,59.934437786
