controller,num_steps,avg_rise_time,std_rise_time,avg_overshoot_percent,std_overshoot_percent,avg_settling_time,std_settling_time,avg_ss_error,std_ss_error
PID+Fuzzy,3,0.9330920419999996,1.1788974537059054,0.0,0.0,24.20096429166667,5.233845120018322,6.199033878554327,2.996994245801885
PD,3,1.0666889506666668,0.04621547841336446,0.0,0.0,24.601813925333335,4.669093992088648,6.109975155920584,2.646923714295005
PID,3,0.9696221663333336,1.1532702174414027,0.0,0.0,24.467869917666665,4.8557403718957195,6.289153496316598,2.872339812350651
