controller,step_number,step_time,step_magnitude,rise_time,overshoot_percent,peak_time,settling_time,steady_state_error,initial_value,final_value,peak_value
PID+Fuzzy,1,0.994750476,0.03333333333333144,2.600304757,0.0,27.900245152,27.900245152,8.314329372564822,-10.580616298912568,-2.185670627435178,-1.5536928456898456
PID+Fuzzy,2,21.194416142,0.0333333333333341,0.09984864199999777,0.0,27.903457951,27.903457951,8.322125903020266,-4.120113057936341,4.322125903020266,4.945941690502387
PID+Fuzzy,3,43.09535246,0.0,0.09912272700000102,0.0,7.599889212999997,16.799189772,1.9606463600778907,2.931132696787142,4.993979693411225,5.247348078138504
PD,1,1.005509956,0.03333333333333144,1.0013396130000003,0.0,27.901358228,27.901358228,7.979701199680538,-10.951571817190231,-2.5202988003194617,-1.8871528854558512
PD,2,21.205357407,0.0333333333333341,1.1003142599999975,0.0,27.905365265,27.905365265,7.983563863180743,-4.457049307300617,3.9835638631807426,4.609005232819759
PD,3,41.806892176,0.0333333333333341,1.0984129790000026,0.0,17.998718283000002,17.998718283000002,2.3666604049004736,2.158869992385026,4.999993738233806,4.999999864634001
PID,1,0.1431161,0.06666666666666465,2.599724374,0.0,27.902977639,27.902977639,8.312866369127587,-10.851281582774796,-2.453800297539081,-1.8411745285109584
PID,2,22.043557423,0.0,0.10849084899999895,0.0,27.899815843000003,27.899815843000003,8.327533715112825,-3.8475362678457783,4.59420038177949,5.185658284618643
PID,3,42.242606028,0.03333333333333144,0.2006512760000021,0.0,8.500759577000004,17.600816271,2.227060404709384,2.6183051451844883,4.99372707137605,5.246363143645862
